PCname,User,Category,Type,CategoryString,EventCode,EventIdentifier,EventType,Logfile,RecordNumber,Date_local,Date_universal_microsecond
"localhost","DAVIDECASTELLAN\Davide Castellani","0","Error","None","2004","2004","1","Application","79656","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","101","Error","None","1002","1002","1","Application","79626","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","1","Error","Gestore virtualizzazione client","100","1073741924","1","Application","79620","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","13","13","1","Application","79555","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","1","Error","Gestore virtualizzazione client","100","1073741924","1","Application","79407","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","8193","8193","1","Application","79286","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","13","13","1","Application","79285","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79236","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79235","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79234","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79233","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79232","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79231","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79229","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79228","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79227","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79226","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79225","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79224","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79223","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79222","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79176","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79175","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79174","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79173","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79172","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79171","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79170","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79169","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79168","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79167","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79166","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79165","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79088","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79087","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79086","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79085","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79084","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79083","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79082","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79081","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79080","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79079","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79078","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79077","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79076","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79075","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79074","2020-12-12 20:43:54.948285","1607802234.948285"
"localhost","None","0","Error","None","100","100","1","Application","79073","2020-12-12 20:43:54.948285","1607802234.948285"
