PC_name,Caption,Description,IdentifyingNumber,InstallDate,InstallLocation,Language,Name,ProductID,URLInfoAbout,URLUpdateInfo,Vendor,Version,Date_local,Date_universal_microsecond
"My PC","Python 3.7.5 Executables (64-bit)","Python 3.7.5 Executables (64-bit)","{8864B390-4DFB-43AB-934B-F02C48577666}","20200116","None","1033","Python 3.7.5 Executables (64-bit)","None","None","None","Python Software Foundation","3.7.5150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Python 3.7.5 Core Interpreter (64-bit)","Python 3.7.5 Core Interpreter (64-bit)","{6DC6BC71-F1FB-412D-A16A-2FE8C463E89F}","20200116","None","1033","Python 3.7.5 Core Interpreter (64-bit)","None","None","None","Python Software Foundation","3.7.5150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Autodesk App Manager 2020","Autodesk App Manager 2020","{093769E2-0281-4626-88B1-43180365CCDF}","20190512","C:\Program Files (x86)\Autodesk\ApplicationPlugins\","1040","Autodesk App Manager 2020","none","http://www.autodesk.com/","None","Autodesk","3.0.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Autodesk Genuine Service","Autodesk Genuine Service","{317D67F2-9027-4E85-9ED1-ADF4D765AE02}","20190512","C:\Users\Davide Castellani\Autodesk\Genuine Service\","1033","Autodesk Genuine Service","none","http://www.Autodesk.com","www.autodesk.com/genuine","Autodesk","3.0.11","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Python 3.7.5 Development Libraries (64-bit)","Python 3.7.5 Development Libraries (64-bit)","{5A54B213-36D8-40CB-9E55-D20864AEF3C8}","20200116","None","1033","Python 3.7.5 Development Libraries (64-bit)","None","None","None","Python Software Foundation","3.7.5150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Python 3.7.5 Documentation (64-bit)","Python 3.7.5 Documentation (64-bit)","{B33E7CE3-8BFE-4F55-8505-2F74D97392C4}","20200116","None","1033","Python 3.7.5 Documentation (64-bit)","None","None","None","Python Software Foundation","3.7.5150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Applicazioni disponibili di Autodesk 2020","Applicazioni disponibili di Autodesk 2020","{D0194D24-57D6-4FC8-9B80-3B60BFEBA23A}","20190512","C:\Program Files (x86)\Autodesk\ApplicationPlugins\","1040","Applicazioni disponibili di Autodesk 2020","none","http://www.autodesk.com/","None","Autodesk","3.0.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Python 3.7.5 Utility Scripts (64-bit)","Python 3.7.5 Utility Scripts (64-bit)","{EFF40415-0D5B-4CBA-9080-3EE2DADB527C}","20200116","None","1033","Python 3.7.5 Utility Scripts (64-bit)","None","None","None","Python Software Foundation","3.7.5150.0","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Salva su Autodesk Web & Mobile","Salva su Autodesk Web & Mobile","{26FB18F7-B553-430D-94F6-C2389A91235F}","20190512","C:\Users\Davide Castellani\AppData\Roaming\Autodesk\ApplicationPlugins\","1040","Salva su Autodesk Web & Mobile","none","www.autodesk.com","None","Autodesk","3.0.21","2020-12-12 20:52:57.426928","1607802777.426928"
"My PC","Python 3.7.5 Tcl/Tk Support (64-bit)","Python 3.7.5 Tcl/Tk Support (64-bit)","{42DC5149-4088-4217-8F86-487FA8B953FC}","20200116","None","1033","Python 3.7.5 Tcl/Tk Support (64-bit)","None","None","None","Python Software Foundation","3.7.5150.0","2020-12-12 20:52:57.426928","1607802777.426928"
