"ComputerName"; "Programma"; "Azione"; "tic"; "data"
"null"; "netinfo"; "Inizio";1611066479.138591; "19/1/2021"
"W10STAT-3-126"; "netinfo"; "Scheda di rete disabilitata";1611066481.454292; "19/1/2021"
"DESKTOP-Q0H09QF"; "netinfo"; "Il terminale è accessibile";1611066481.497581; "19/1/2021"
"Garuda63"; "netinfo"; "Scheda di rete disabilitata";1611066484.644256; "19/1/2021"
"null"; "netinfo"; "Fine";1611066484.644256; "19/1/2021"
"null"; "netinfo"; "Inizio";1611067792.620562; "19/1/2021"
"W10STAT-3-126"; "netinfo"; "Scheda di rete disabilitata";1611067794.940345; "19/1/2021"
"DESKTOP-Q0H09QF"; "netinfo"; "Il terminale è accessibile";1611067794.985225; "19/1/2021"
"Garuda63"; "netinfo"; "Scheda di rete disabilitata";1611067798.167671; "19/1/2021"
"null"; "netinfo"; "Fine";1611067798.168668; "19/1/2021"
"null"; "product"; "Inizio";1611067798.312965; "19/1/2021"
"W10STAT-3-126"; "product"; "Scheda di rete disabilitata";1611067800.62365; "19/1/2021"
"DESKTOP-Q0H09QF"; "product"; "Il terminale è accessibile";1611067800.62365; "19/1/2021"
"null"; "osversion"; "Fine";1611067810.228366; "19/1/2021"
"Garuda63"; "product"; "Scheda di rete disabilitata";1611067812.54971; "19/1/2021"
"null"; "eventsview"; "Inizio";1611067812.695321; "19/1/2021"
"W10STAT-3-126"; "eventsview"; "Scheda di rete disabilitata";1611067815.006886; "19/1/2021"
"DESKTOP-Q0H09QF"; "eventsview"; "Il terminale è accessibile";1611067815.006886; "19/1/2021"
"null"; "eventsview"; "Fine";1611068405.770477; "19/1/2021"
"Garuda63"; "eventsview"; "Scheda di rete disabilitata";1611068408.094533; "19/1/2021"
"null"; "osversion"; "Inizio";1611068408.245044; "19/1/2021"
"W10STAT-3-126"; "osversion"; "Scheda di rete disabilitata";1611068410.557318; "19/1/2021"
"DESKTOP-Q0H09QF"; "osversion"; "Scheda di rete disabilitata";1611068410.604216; "19/1/2021"
"Garuda63"; "osversion"; "Scheda di rete disabilitata";1611068412.920169; "19/1/2021"
"null"; "osversion"; "Fine";1611068412.921142; "19/1/2021"
