PC_name,Update
DAVIDECASTELLAN,2020-11 Cumulative Update Preview for .NET Framework 3.5 and 4.8 for Windows 10 Version 2004 for x64 (KB4586876)
DAVIDECASTELLAN,Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.327.2115.0)
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.5.2
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.5.2
DAVIDECASTELLAN,Intel - System - 12/12/2018 12:00:00 AM - 8.5.10103.7263
DAVIDECASTELLAN,Intel - System - 12/12/2018 12:00:00 AM - 8.5.10103.7263
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.7.3
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.10.4
DAVIDECASTELLAN,Advanced Micro Devices, Inc. - Display - 4/9/2019 12:00:00 AM - 26.20.11002.12
DAVIDECASTELLAN,Realtek - Net - 12/6/2018 12:00:00 AM - 10.32.1206.2018
DAVIDECASTELLAN,Realtek Semiconductor Corp. - USB - 3/5/2019 12:00:00 AM - 10.0.17763.31246
DAVIDECASTELLAN,SAMSUNG Electronics Co., Ltd.  - Modem - 2.17.6.0
DAVIDECASTELLAN,SAMSUNG Electronics Co., Ltd.  - USB - 2.17.6.0
DAVIDECASTELLAN,2020-11 Cumulative Update Preview for .NET Framework 3.5 and 4.8 for Windows 10 Version 2004 for x64 (KB4586876)
DAVIDECASTELLAN,Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.327.2115.0)
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.5.2
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.5.2
DAVIDECASTELLAN,Intel - System - 12/12/2018 12:00:00 AM - 8.5.10103.7263
DAVIDECASTELLAN,Intel - System - 12/12/2018 12:00:00 AM - 8.5.10103.7263
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.7.3
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.10.4
DAVIDECASTELLAN,Advanced Micro Devices, Inc. - Display - 4/9/2019 12:00:00 AM - 26.20.11002.12
DAVIDECASTELLAN,Realtek - Net - 12/6/2018 12:00:00 AM - 10.32.1206.2018
DAVIDECASTELLAN,Realtek Semiconductor Corp. - USB - 3/5/2019 12:00:00 AM - 10.0.17763.31246
DAVIDECASTELLAN,SAMSUNG Electronics Co., Ltd.  - Modem - 2.17.6.0
DAVIDECASTELLAN,SAMSUNG Electronics Co., Ltd.  - USB - 2.17.6.0
DAVIDECASTELLAN,2020-11 Cumulative Update Preview for .NET Framework 3.5 and 4.8 for Windows 10 Version 2004 for x64 (KB4586876)
DAVIDECASTELLAN,Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.327.2115.0)
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.5.2
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.5.2
DAVIDECASTELLAN,Intel - System - 12/12/2018 12:00:00 AM - 8.5.10103.7263
DAVIDECASTELLAN,Intel - System - 12/12/2018 12:00:00 AM - 8.5.10103.7263
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.7.3
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.10.4
DAVIDECASTELLAN,Advanced Micro Devices, Inc. - Display - 4/9/2019 12:00:00 AM - 26.20.11002.12
DAVIDECASTELLAN,Realtek - Net - 12/6/2018 12:00:00 AM - 10.32.1206.2018
DAVIDECASTELLAN,Realtek Semiconductor Corp. - USB - 3/5/2019 12:00:00 AM - 10.0.17763.31246
DAVIDECASTELLAN,SAMSUNG Electronics Co., Ltd.  - Modem - 2.17.6.0
DAVIDECASTELLAN,SAMSUNG Electronics Co., Ltd.  - USB - 2.17.6.0
DAVIDECASTELLAN,2020-11 Cumulative Update Preview for .NET Framework 3.5 and 4.8 for Windows 10 Version 2004 for x64 (KB4586876)
DAVIDECASTELLAN,Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.327.2115.0)
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.5.2
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.5.2
DAVIDECASTELLAN,Intel - System - 12/12/2018 12:00:00 AM - 8.5.10103.7263
DAVIDECASTELLAN,Intel - System - 12/12/2018 12:00:00 AM - 8.5.10103.7263
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.7.3
DAVIDECASTELLAN,INTEL - System - 7/18/1968 12:00:00 AM - 10.1.10.4
DAVIDECASTELLAN,Advanced Micro Devices, Inc. - Display - 4/9/2019 12:00:00 AM - 26.20.11002.12
DAVIDECASTELLAN,Realtek - Net - 12/6/2018 12:00:00 AM - 10.32.1206.2018
DAVIDECASTELLAN,Realtek Semiconductor Corp. - USB - 3/5/2019 12:00:00 AM - 10.0.17763.31246
DAVIDECASTELLAN,SAMSUNG Electronics Co., Ltd.  - Modem - 2.17.6.0
DAVIDECASTELLAN,SAMSUNG Electronics Co., Ltd.  - USB - 2.17.6.0
