#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"Hostname","ClientId","IPAddress"
"WKS0784.marconi.edu","a0-66-10-09-e3-01","172.16.0.1"
"WKS0002.marconi.edu","e8-6a-64-aa-f0-a5","172.16.0.2"
"WKS0003.marconi.edu","40-9b-cd-73-f4-36","172.16.0.3"
"WKS0004-old.marconi.edu","48-65-ee-18-a4-c3","172.16.0.4"
"WKS0005.marconi.edu","e8-6a-64-aa-f2-d4","172.16.0.5"
"WKS0006.marconi.edu","e8-6a-64-aa-f1-f7","172.16.0.6"
"WKS0007.marconi.edu","b4-a9-fc-74-2f-77","172.16.0.7"
"drava.marconi.edu","e8-6a-64-aa-f1-60","172.16.0.8"
"WKS0009.marconi.edu","b4-a9-fc-67-23-60","172.16.0.9"
"WKS0010.marconi.edu","e8-6a-64-aa-ef-f0","172.16.0.10"
"WKS0011.marconi.edu","f8-75-a4-7f-b0-ab","172.16.0.11"
"WKS0012.marconi.edu","e8-6a-64-aa-f2-09","172.16.0.12"
"WKS0013.marconi.edu","e8-6a-64-aa-f0-af","172.16.0.13"
"BAD_ADDRESS","0e-00-10-ac","172.16.0.14"
"WKS0064.marconi.edu","90-1b-0e-4c-05-51","172.16.0.64"
"WKS0065.marconi.edu","90-1b-0e-d6-d6-b4","172.16.0.65"
"WKS0070.marconi.edu","90-1b-0e-2d-98-0d","172.16.0.70"
"WKS0071.marconi.edu","90-1b-0e-d7-a5-08","172.16.0.71"
"WKS0072.marconi.edu","90-1b-0e-4d-89-1a","172.16.0.72"
"WKS0077.marconi.edu","90-1b-0e-41-58-c9","172.16.0.77"
"WKS0079.marconi.edu","90-1b-0e-66-2e-1b","172.16.0.79"
"WKS0081.marconi.edu","90-1b-0e-4d-88-ef","172.16.0.81"
"WKS0082.marconi.edu","90-1b-0e-4c-d9-2d","172.16.0.82"
"WKS0087.marconi.edu","90-1b-0e-65-a6-ed","172.16.0.87"
"WKS0089.marconi.edu","90-1b-0e-66-2e-50","172.16.0.89"
"WKS0091.marconi.edu","00-19-99-e7-d1-ff","172.16.0.91"
"WKS0093.marconi.edu","00-19-99-cd-35-ce","172.16.0.93"
"WKS0095.marconi.edu","90-1b-0e-a4-6b-8d","172.16.0.95"
"W2GO-245.marconi.edu","90-1b-0e-5a-3d-14","172.16.0.104"
"WKS0108.marconi.edu","90-1b-0e-4c-17-77","172.16.0.108"
"WKS0117.marconi.edu","90-1b-0e-5a-3c-5d","172.16.0.117"
"WKS0120.marconi.edu","90-1b-0e-26-be-61","172.16.0.120"
"WKS0122.marconi.edu","90-1b-0e-d6-d5-6f","172.16.0.122"
"WKS0123.marconi.edu","90-1b-0e-37-71-2e","172.16.0.123"
"WKS0124.marconi.edu","90-1b-0e-66-2d-ed","172.16.0.124"
"WKS0125.marconi.edu","90-1b-0e-90-ad-71","172.16.0.125"
"WKS0129.marconi.edu","90-1b-0e-85-5f-13","172.16.0.129"
"WKS0133.marconi.edu","90-1b-0e-5a-3c-96","172.16.0.133"
"WKS0135.marconi.edu","90-1b-0e-4c-d9-2e","172.16.0.135"
"WKS0136.marconi.edu","90-1b-0e-89-ce-24","172.16.0.136"
"WKS0137.marconi.edu","90-1b-0e-1c-59-d0","172.16.0.137"
"WKS0139.marconi.edu","90-1b-0e-4b-ec-ec","172.16.0.139"
"WKS0140.marconi.edu","90-1b-0e-38-98-7b","172.16.0.140"
"WKS0142.marconi.edu","90-1b-0e-40-05-0b","172.16.0.142"
"WKS0143.marconi.edu","90-1b-0e-38-69-ff","172.16.0.143"
"WKS0146.marconi.edu","00-19-99-e8-5a-e6","172.16.0.146"
"WKS0153.marconi.edu","90-1b-0e-41-5a-93","172.16.0.153"
"WKS0155.marconi.edu","90-1b-0e-37-92-d4","172.16.0.155"
"WKS0158.marconi.edu","90-1b-0e-a4-96-d8","172.16.0.158"
"WKS0160.marconi.edu","90-1b-0e-4c-d9-60","172.16.0.160"
"WKS0166.marconi.edu","90-1b-0e-90-ad-6c","172.16.0.166"
"WKS0170.marconi.edu","90-1b-0e-68-57-b9","172.16.0.170"
"WKS0171.marconi.edu","90-1b-0e-4d-43-48","172.16.0.171"
"WKS0173.marconi.edu","00-19-99-e8-5a-97","172.16.0.173"
"WKS0174.marconi.edu","90-1b-0e-8d-ba-67","172.16.0.174"
"W2GO-245.marconi.edu","90-1b-0e-4c-05-3f","172.16.0.175"
"WKS0177.marconi.edu","90-1b-0e-4d-43-d6","172.16.0.177"
"WKS0178.marconi.edu","00-19-99-eb-dc-b7","172.16.0.178"
"WKS0179.marconi.edu","90-1b-0e-9f-bf-69","172.16.0.179"
"WKS0180.marconi.edu","90-1b-0e-37-97-10","172.16.0.180"
"WKS0182.marconi.edu","90-1b-0e-17-37-e1","172.16.0.182"
"WKS0185.marconi.edu","90-1b-0e-41-59-15","172.16.0.185"
"WKS0188.marconi.edu","90-1b-0e-91-46-05","172.16.0.188"
"WKS0191.marconi.edu","90-1b-0e-66-2d-ba","172.16.0.191"
"WKS0197.marconi.edu","90-1b-0e-3d-99-e0","172.16.0.197"
"WKS0199.marconi.edu","90-1b-0e-4c-d9-a2","172.16.0.199"
"WKS0203.marconi.edu","00-50-56-92-33-5b","172.16.0.203"
"WKS0206.marconi.edu","90-1b-0e-4a-8b-cc","172.16.0.206"
"WKS0210.marconi.edu","90-1b-0e-5a-81-87","172.16.0.210"
"WKS0212.marconi.edu","90-1b-0e-26-be-c8","172.16.0.212"
"WINTESTMG.marconi.edu","90-1b-0e-fb-66-ff","172.16.0.217"
"WKS0218.marconi.edu","90-1b-0e-5a-81-79","172.16.0.218"
"WKS0220.marconi.edu","90-1b-0e-4c-04-ee","172.16.0.220"
"WKS0222.marconi.edu","90-1b-0e-9f-d2-3a","172.16.0.222"
"WKS0226.marconi.edu","90-1b-0e-41-59-16","172.16.0.226"
"WKS0237.marconi.edu","90-1b-0e-15-ab-91","172.16.0.237"
"WKS0238.marconi.edu","90-1b-0e-4c-d9-8c","172.16.0.238"
"WKS0239.marconi.edu","90-1b-0e-15-ac-07","172.16.0.239"
"WKS0154.marconi.edu","90-1b-0e-37-5e-a4","172.16.0.242"
"WKS0244.marconi.edu","90-1b-0e-3d-98-47","172.16.0.244"
"WKS0245.marconi.edu","90-1b-0e-68-5e-84","172.16.0.245"
"WKS0247.marconi.edu","90-1b-0e-4a-8b-e7","172.16.0.247"
"WKS0275.marconi.edu","90-1b-0e-65-a6-d9","172.16.1.19"
"WKS0280.marconi.edu","90-1b-0e-4c-d9-11","172.16.1.24"
"WKS0293.marconi.edu","90-1b-0e-4b-f2-54","172.16.1.37"
"WKS0304.marconi.edu","90-1b-0e-2d-98-04","172.16.1.48"
"WKS0310.marconi.edu","90-1b-0e-3d-9a-31","172.16.1.54"
"WKS0355.marconi.edu","90-1b-0e-85-5f-1a","172.16.1.99"
"WKS0653.marconi.edu","b4-a9-fc-9d-5c-9d","172.16.2.141"
"WKS0645.marconi.edu","b4-a9-fc-9d-5e-73","172.16.2.142"
"WKS0656.marconi.edu","b4-a9-fc-9d-5f-d5","172.16.2.144"
"WKS0658.marconi.edu","b4-a9-fc-9d-92-9a","172.16.2.146"
"WKS0659.marconi.edu","b4-a9-fc-9d-5e-03","172.16.2.147"
"WKS0660.marconi.edu","b4-a9-fc-9d-60-1d","172.16.2.148"
"WKS0661.marconi.edu","b4-a9-fc-9d-57-29","172.16.2.149"
"WKS0662.marconi.edu","b4-a9-fc-9d-5f-d6","172.16.2.150"
"WKS0663.marconi.edu","b4-a9-fc-9d-93-44","172.16.2.151"
"WKS0664.marconi.edu","b4-a9-fc-9d-8d-d6","172.16.2.152"
"WKS0665.marconi.edu","b4-a9-fc-9d-5e-41","172.16.2.153"
"WKS0666.marconi.edu","b4-a9-fc-9d-5e-31","172.16.2.154"
"WKS0667.marconi.edu","b4-a9-fc-9d-5e-0c","172.16.2.155"
"WKS0668.marconi.edu","b4-a9-fc-9d-5e-2a","172.16.2.156"
"WKS0669.marconi.edu","b4-a9-fc-9d-93-54","172.16.2.157"
